NMR Identified	Name	SMILES	M	M+H	SiriusRank
279.2299995	Palmitic acid	CCCCCCCCCCCCCCCC(=O)O	256.2402303	257.2480553	n/a
303.2299995	Linoleic acid	CCCCC/C=C\C/C=C\CCCCCCCC(=O)O	280.2402303	281.2480553	n/a
465.3708501	Arnidiol	C[C@H]1[C@@H]2[C@H]3CC[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(C[C@@H]([C@]2(CCC1=C)C)O)C)C)(C)C)O)C	442.3810808	443.3889058	n/a
325.0324219	Quercetin	C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O	302.0426527	303.0504777	1
487.0852454	Quercetin 3-O-glucoside	C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O	464.0954761	465.1033011	1
309.0375073	Kaempferol	C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O	286.047738	287.055563	1
201.016378	Esculetin	C1=CC(=O)OC2=CC(=C(C=C21)O)O	178.0266087	179.0344337	1
365.1059808	Saccharose	C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@]2([C@H]([C@@H]([C@H](O2)CO)O)O)CO)O)O)O)O	342.1162115	343.1240365	1
203.0531574	?-D-glucose	C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O)O)O)O)O	180.0633881	181.0712131	n/a
203.0531574	?-D-glucose	C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O)O)O)O)O	180.0633881	181.0712131	n/a
154.0843979	Leucine	CC(C)C[C@@H](C(=O)O)N	131.0946287	132.1024537	2
154.0843979	Isoleucine	CCC(C)C(C(=O)O)N	131.0946287	132.1024537	1
140.0687479	Valine	CC(C)[C@@H](C(=O)O)N	117.0789786	118.0868036	n/a
127.0973084	Choline	C[N+](C)(C)CCO	104.1075391	105.1153641	1
